subject-id,DSC,ASD,HD95,NSD,model,anatomy
s0074_femur_left_msk,0.94,0.89,2.45,0.83,SwinUNETR,femur
s1069_hip_msk,0.87,0.7,3.0,0.54,MultiScale2DPermuteConcat,hip
s0065_rib_msk,0.57,0.83,4.0,0.53,SwinUNETR,rib
sub-verse058_vert-20-seg-vert_msk,0.89,0.57,1.41,0.93,UNet,vertebra
s1069_hip_msk,0.86,0.71,2.45,0.54,AttentionUnet,hip
s0074_femur_left_msk,0.94,0.96,2.45,0.86,TLPredictor,femur
sub-verse058_vert-20-seg-vert_msk,0.86,0.66,2.24,0.86,MultiScale2DPermuteConcat,vertebra
s0065_rib_msk,0.55,0.9,4.12,0.54,MultiScale2DPermuteConcat,rib
sub-verse058_vert-20-seg-vert_msk,0.88,0.57,1.73,0.91,SwinUNETR,vertebra
s0074_femur_left_msk,0.94,0.78,2.45,0.87,UNet,femur
s0065_rib_msk,0.62,0.66,2.45,0.6,AttentionUnet,rib
s1069_hip_msk,0.87,0.7,2.45,0.54,TwoDPermuteConcat,hip
s0074_femur_left_msk,0.92,1.13,3.16,0.77,OneDConcat,femur
sub-verse058_vert-20-seg-vert_msk,0.88,0.57,2.0,0.89,UNETR,vertebra
s0065_rib_msk,0.36,1.39,19.39,0.33,OneDConcat,rib
s1069_hip_msk,0.84,0.88,3.61,0.44,TLPredictor,hip
